"","term","estimate","std.error","statistic","p.value","name","is_adopt","tag_adopt","p_value_adjust","p_value_adjust_num"
"80","as.factor(year)2017",-0.0107958013540322,0.00823334621601562,-1.31122888201058,0.189782693276526,"grade8_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"81","as.factor(year)2018",-0.0168396740893708,0.00842030836296307,-1.99988805201488,0.0455143675963111,"grade8_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"82","relative_age",0.0265044064605688,0.00247432697946191,10.7117639182565,9.18525559592857e-27,"grade9_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"83","I(relative_age^2)",-0.00111809800302409,0.000217993114626491,-5.12905191955186,2.91600295608043e-07,"grade9_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"84","as.factor(sex)2",0.100947048638446,0.00604695972438207,16.6938516609289,1.67530832246062e-62,"grade9_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"85","as.factor(book)2",0.229324606853202,0.00903878448844702,25.3711776341514,1.11717027103325e-141,"grade9_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"86","as.factor(book)3",0.41046096766423,0.00844026700277634,48.6312776040394,0,"grade9_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"87","as.factor(book)4",0.490970876630239,0.0100705515677956,48.7531267105869,0,"grade9_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"88","as.factor(book)5",0.560731314720524,0.0102440041557406,54.7375133976589,0,"grade9_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"89","as.factor(year)2017",-0.0135529621329345,0.00840644339444151,-1.61221119289234,0.106918292326149,"grade9_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"90","as.factor(year)2018",-0.0171983050077357,0.00927663941185408,-1.85393699638244,0.0637503205814829,"grade9_all_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"91","relative_age",0.0449322045864233,0.00407260340921942,11.0327964870597,2.74597323968738e-28,"grade4_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"92","I(relative_age^2)",-0.00116123012488907,0.000357105483919722,-3.25178463277286,0.00114716963110288,"grade4_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"93","as.factor(sex)2",0.106205152463177,0.00545306927353056,19.4762155285101,2.4155237463049e-84,"grade4_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"94","as.factor(book)2",0.238417700173753,0.0084119761035123,28.342650673271,4.37290448988218e-176,"grade4_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"95","as.factor(book)3",0.507354128868137,0.0086957675436406,58.3449507271128,0,"grade4_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
