"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","tau","name","fm_use","fm_delta"
"71","relative_age",0.0299548254290054,0.0023010890398358,13.0176733322509,0,0.025444762806451,0.0344648880515598,0.9,"rq_zgakuryoku_junior_0.9",NA,NA
"72","I(relative_age^2)",-0.0010662877985228,0.00020139157735057,-5.29459976703329,1.19327812075909e-07,-0.00146100899782541,-0.000671566599220187,0.9,"rq_zgakuryoku_junior_0.9",NA,NA
"73","(Intercept)",-1.36692569504718,0.00694760027284083,-196.747890115482,0,-1.38054277450476,-1.3533086155896,0.1,"rq_zkokugo_level_junior_0.1",NA,NA
"74","relative_age",0.0160280630758297,0.00289942667034127,5.5280111891718,3.24043312183164e-08,0.0103452773943042,0.0217108487573552,0.1,"rq_zkokugo_level_junior_0.1",NA,NA
"75","I(relative_age^2)",0.000212846040974026,0.000253757322806446,0.838777926169938,0.401594343024501,-0.000284510383100318,0.000710202465048371,0.1,"rq_zkokugo_level_junior_0.1",NA,NA
"76","(Intercept)",-0.122246563044577,0.00492005061599781,-24.846606790403,0,-0.131889708525364,-0.112603417563791,0.5,"rq_zkokugo_level_junior_0.5",NA,NA
"77","relative_age",0.028099865707153,0.00205327385215558,13.6853959727063,0,0.0240755131112976,0.0321242183030085,0.5,"rq_zkokugo_level_junior_0.5",NA,NA
"78","I(relative_age^2)",-0.000715983907415707,0.000179702173895693,-3.98428072345577,6.76944561173176e-05,-0.0010681945534719,-0.000363773261359515,0.5,"rq_zkokugo_level_junior_0.5",NA,NA
"79","(Intercept)",1.09967577700309,0.00300117730994607,366.414797739108,0,1.09379356324713,1.10555799075905,0.9,"rq_zkokugo_level_junior_0.9",NA,NA
"80","relative_age",0.0499126977951318,0.00125247469531269,39.8512624501931,0,0.0474578865257858,0.0523675090644777,0.9,"rq_zkokugo_level_junior_0.9",NA,NA
"81","I(relative_age^2)",-0.00263915096396857,0.00010961636961419,-24.0762485863876,0,-0.0028539956234581,-0.00242430630447905,0.9,"rq_zkokugo_level_junior_0.9",NA,NA
"82","(Intercept)",-1.23415513323261,0.00607546693186653,-203.13749495686,0,-1.24606285858829,-1.22224740787693,0.1,"rq_zmath_level_junior_0.1",NA,NA
"83","relative_age",0.0111646527845448,0.00253551080360519,4.40331501197706,1.06631380383249e-05,0.00619513083268751,0.016134174736402,0.1,"rq_zmath_level_junior_0.1",NA,NA
