"","term","statistic","bias","std.error","X2.5.","X97.5.","fm_use","fm_delta","name"
"52","tau1-tau2",-0.0132302168069302,0.00577311906973681,0.00781172017471198,-0.0218172713418573,0.00865246123293639,"zmath_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zmath_level_junior"
"53","tau2-tau3",-0.038339183345271,0.00398273487557146,0.0133347478953581,-0.0560729487884143,-0.0100632031492455,"zmath_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zmath_level_junior"
"54","tau1-tau3",-0.0515694001522012,0.00975585394530828,0.0147982373715491,-0.0672492335674459,-0.0124857676489244,"zmath_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zmath_level_junior"
"55","res.tau1.delta",0.0984044183460389,-0.00493929950197765,0.0105731373787933,0.0738257358763271,0.107627533330319,"zeng_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zeng_level_junior"
"56","res.tau2.delta",0.133425291545239,0.000909462125100374,0.0121994706507987,0.112510266152588,0.157115069446331,"zeng_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zeng_level_junior"
"57","res.tau3.delta",0.045745501943126,-0.00154624007347884,0.00528738115919245,0.0287973390621512,0.051003766231061,"zeng_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zeng_level_junior"
"58","tau1-tau2",-0.0350208731992002,-0.00584876162707802,0.0139389244610369,-0.0707235451744963,-0.0150876886415931,"zeng_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zeng_level_junior"
"59","tau2-tau3",0.087679789602113,0.00245570219857921,0.011910709019335,0.0685312210282685,0.114322487677587,"zeng_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zeng_level_junior"
"60","tau1-tau3",0.0526589164029129,-0.00339305942849881,0.0119573026925158,0.028711412370248,0.0731204711804306,"zeng_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zeng_level_junior"
"61","res.tau1.delta",0.138874754750361,-9.76213241104529e-05,0.00867247617744599,0.117340230582142,0.15402339604341,"zstrategy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zstrategy_junior"
"62","res.tau2.delta",0.106475582306188,-0.00249511734756969,0.00743648383024453,0.0902712640268102,0.116550913838042,"zstrategy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zstrategy_junior"
"63","res.tau3.delta",0.0420364464197077,0.00393236566304868,0.0076569529686245,0.0335547096423263,0.0643136488652135,"zstrategy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zstrategy_junior"
"64","tau1-tau2",0.0323991724441738,0.00239749602345923,0.0101913781181522,0.0138466120148375,0.0548782515977011,"zstrategy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zstrategy_junior"
