"","term","estimate","std.error","statistic","p.value","name"
"37","as.factor(year)2006",-29.7687625700837,7.72401034877107,-3.8540552415003,0.000116256590470848,"in_april_and_march_t35_basic_gram"
"38","as.factor(year)2007",-30.5057077911219,6.65013019294894,-4.58723467150565,4.49749776437339e-06,"in_april_and_march_t35_basic_gram"
"39","as.factor(year)2008",-33.8496217877081,7.36075117210962,-4.5986640488496,4.25776602083267e-06,"in_april_and_march_t35_basic_gram"
"40","as.factor(year)2009",-21.1208158054514,8.11706986294845,-2.60202464215078,0.00926901119053141,"in_april_and_march_t35_basic_gram"
"41","is_apirl",-0.0116668140779578,0.0203933742698603,-0.572088459887701,0.56726345075444,"in_april_and_march_t35_basic_pregnant_week"
"42","as.factor(year)2001",-0.0134090116253526,0.0527544187019085,-0.254177980826988,0.799358631384228,"in_april_and_march_t35_basic_pregnant_week"
"43","as.factor(year)2002",0.00358773704155914,0.0535743663445902,0.0669674190541579,0.946607786936141,"in_april_and_march_t35_basic_pregnant_week"
"44","as.factor(year)2003",-0.0344477229415108,0.0534468010569668,-0.644523568488119,0.519237593478917,"in_april_and_march_t35_basic_pregnant_week"
"45","as.factor(year)2004",-0.0527567937598651,0.0475993679551692,-1.10835072031951,0.267713288713484,"in_april_and_march_t35_basic_pregnant_week"
"46","as.factor(year)2005",-0.0130674756445228,0.0600143289531136,-0.217739261147647,0.8276327565334,"in_april_and_march_t35_basic_pregnant_week"
"47","as.factor(year)2006",-0.119733466503319,0.0524569194948387,-2.2825104420228,0.0224615029661488,"in_april_and_march_t35_basic_pregnant_week"
"48","as.factor(year)2007",-0.235508667754029,0.0478736956725351,-4.91937512752206,8.69711038472867e-07,"in_april_and_march_t35_basic_pregnant_week"
"49","as.factor(year)2008",-0.275649606129038,0.0501495413670128,-5.49655288194427,3.8831596311799e-08,"in_april_and_march_t35_basic_pregnant_week"
"50","as.factor(year)2009",-0.208179821161851,0.0660818464665029,-3.150332993001,0.00163136908807107,"in_april_and_march_t35_basic_pregnant_week"
"51","is_apirl",-0.186818815319382,0.126069690187286,-1.48186939336369,0.138378488744302,"in_april_and_march_t35_basic_I(single_womb*100)"
"52","as.factor(year)2001",0.0672168563990722,0.257786574894755,0.260746147957916,0.79428886164688,"in_april_and_march_t35_basic_I(single_womb*100)"
