"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","obs1","obs2","name","is_adopt","tag_adopt","p_value_adjust","p_value_adjust_num"
"35",-0.208911208916691,-4.87111794016845e-14,0.208911208916642,-13.3453577170453,6.59234323405963e-40,4729.11056570103,-0.239600777301346,-0.178221640532036,"Welch Two Sample t-test","two.sided",181577,4520,"mean_test_zkokugo_level_5",FALSE,NA,NA,NA
"36",-0.167097491293845,1.72225414387289e-16,0.167097491293846,-10.5348775805552,1.18253266186413e-25,4508.21319055714,-0.198193535275479,-0.136001447312212,"Welch Two Sample t-test","two.sided",182473,4315,"mean_test_zkokugo_level_6",FALSE,NA,NA,NA
"37",-0.148342736778189,1.24016041317607e-14,0.148342736778202,-9.16372884274192,7.66308308272504e-20,4197.76997030503,-0.180079847579727,-0.116605625976652,"Welch Two Sample t-test","two.sided",178244,4021,"mean_test_zkokugo_level_7",FALSE,NA,NA,NA
"38",-0.158825258705216,5.87579470401051e-14,0.158825258705274,-9.72507922263868,4.04356751569363e-22,4168.44397341653,-0.190843733146449,-0.126806784263982,"Welch Two Sample t-test","two.sided",181448,3999,"mean_test_zkokugo_level_8",FALSE,NA,NA,NA
"39",-0.120441383397224,4.09516174388395e-14,0.120441383397265,-7.69669038220954,1.68172366721479e-14,4836.91780982527,-0.151119486206675,-0.089763280587773,"Welch Two Sample t-test","two.sided",179163,4620,"mean_test_zmath_level_4",FALSE,NA,NA,NA
"40",-0.211635998890179,1.53953205760553e-14,0.211635998890195,-12.7138345905829,1.95836503758197e-36,4704.06137515507,-0.244270188703118,-0.179001809077241,"Welch Two Sample t-test","two.sided",181597,4520,"mean_test_zmath_level_5",FALSE,NA,NA,NA
"41",-0.151913893961084,-8.48397041227693e-15,0.151913893961075,-8.89425205276344,8.3779543065015e-19,4480.72588445063,-0.185399139224659,-0.118428648697509,"Welch Two Sample t-test","two.sided",182472,4315,"mean_test_zmath_level_6",FALSE,NA,NA,NA
"42",-0.172734806646236,-7.52827943788653e-15,0.172734806646229,-10.0210034815729,2.25917847577148e-23,4176.19324291597,-0.206529041910082,-0.138940571382391,"Welch Two Sample t-test","two.sided",178234,4021,"mean_test_zmath_level_7",FALSE,NA,NA,NA
"43",-0.170304380216838,-6.18759083624045e-14,0.170304380216776,-10.4062990519867,4.69164201713019e-25,4169.75875785075,-0.202389501707201,-0.138219258726474,"Welch Two Sample t-test","two.sided",181490,4001,"mean_test_zmath_level_8",FALSE,NA,NA,NA
"44",-0.215956695966119,4.10928607649524e-15,0.215956695966123,-12.7237557104941,2.06772299545049e-36,4156.46807225326,-0.249232298454142,-0.182681093478096,"Welch Two Sample t-test","two.sided",181462,4000,"mean_test_zeng_level_8",FALSE,NA,NA,NA
